data ,percentual,estados
09/11/20,"39,8",Rondônia 
10/11/20,"39,1",Rondônia 
11/11/20,"40,2",Rondônia 
12/11/20,"38,8",Rondônia 
13/11/20,"39,9",Rondônia 
14/11/20,"41,7",Rondônia 
15/11/20,42,Rondônia 
16/11/20,"41,5",Rondônia 
17/11/20,"41,5",Rondônia 
18/11/20,"40,3",Rondônia 
19/11/20,"40,4",Rondônia 
20/11/20,"40,2",Rondônia 
21/11/20,"43,4",Rondônia 
22/11/20,"50,8",Rondônia 
23/11/20,,Rondônia 
24/11/20,,Rondônia 
25/11/20,,Rondônia 
26/11/20,,Rondônia 
27/11/20,,Rondônia 
28/11/20,,Rondônia 
29/11/20,,Rondônia 
30/11/20,,Rondônia 
01/12/20,,Rondônia 
02/12/20,,Rondônia 
03/12/20,,Rondônia 
04/12/20,,Rondônia 
05/12/20,,Rondônia 
06/12/20,,Rondônia 
07/12/20,,Rondônia 
08/12/20,,Rondônia 
09/12/20,,Rondônia 
10/12/20,,Rondônia 
11/12/20,,Rondônia 
12/12/20,,Rondônia 
13/12/20,,Rondônia 
14/12/20,,Rondônia 
15/12/20,,Rondônia 
16/12/20,,Rondônia 
17/12/20,,Rondônia 
18/12/20,,Rondônia 
19/12/20,,Rondônia 
20/12/20,,Rondônia 
21/12/20,,Rondônia 
22/12/20,,Rondônia 
23/12/20,,Rondônia 
24/12/20,,Rondônia 
25/12/20,,Rondônia 
26/12/20,,Rondônia 
27/12/20,,Rondônia 
28/12/20,,Rondônia 
29/12/20,,Rondônia 
30/12/20,,Rondônia 
31/12/20,,Rondônia 
01/01/21,,Rondônia 
02/01/21,,Rondônia 
03/01/21,,Rondônia 
04/01/21,,Rondônia 
05/01/21,,Rondônia 
06/01/21,,Rondônia 
07/01/21,,Rondônia 
08/01/21,,Rondônia 
09/01/21,,Rondônia 
10/01/21,,Rondônia 
11/01/21,,Rondônia 
12/01/21,,Rondônia 
13/01/21,,Rondônia 
14/01/21,,Rondônia 
15/01/21,,Rondônia 
16/01/21,,Rondônia 
17/01/21,,Rondônia 
18/01/21,,Rondônia 
19/01/21,,Rondônia 
20/01/21,,Rondônia 
21/01/21,,Rondônia 
22/01/21,,Rondônia 
23/01/21,,Rondônia 
24/01/21,,Rondônia 
25/01/21,,Rondônia 
26/01/21,,Rondônia 
27/01/21,,Rondônia 
28/01/21,,Rondônia 
29/01/21,,Rondônia 
30/01/21,,Rondônia 
31/01/21,,Rondônia 
01/02/21,,Rondônia 
02/02/21,,Rondônia 
03/02/21,,Rondônia 
04/02/21,,Rondônia 
05/02/21,,Rondônia 
06/02/21,,Rondônia 
07/02/21,,Rondônia 
08/02/21,,Rondônia 
09/02/21,,Rondônia 
10/02/21,,Rondônia 
11/02/21,,Rondônia 
12/02/21,,Rondônia 
13/02/21,,Rondônia 
14/02/21,,Rondônia 
15/02/21,,Rondônia 
16/02/21,,Rondônia 
17/02/21,,Rondônia 
18/02/21,,Rondônia 
19/02/21,,Rondônia 
20/02/21,,Rondônia 
21/02/21,,Rondônia 
22/02/21,,Rondônia 
23/02/21,,Rondônia 
24/02/21,,Rondônia 
25/02/21,,Rondônia 
26/02/21,,Rondônia 
27/02/21,,Rondônia 
28/02/21,,Rondônia 
01/03/21,,Rondônia 
02/03/21,,Rondônia 
03/03/21,,Rondônia 
04/03/21,,Rondônia 
05/03/21,,Rondônia 
06/03/21,,Rondônia 
07/03/21,,Rondônia 
08/03/21,,Rondônia 
09/03/21,,Rondônia 
10/03/21,,Rondônia 
11/03/21,,Rondônia 
12/03/21,,Rondônia 
13/03/21,,Rondônia 
14/03/21,,Rondônia 
15/03/21,,Rondônia 
16/03/21,,Rondônia 
17/03/21,,Rondônia 
18/03/21,,Rondônia 
19/03/21,,Rondônia 
20/03/21,,Rondônia 
21/03/21,,Rondônia 
22/03/21,,Rondônia 
23/03/21,,Rondônia 
24/03/21,,Rondônia 
25/03/21,,Rondônia 
